,loss,val_acc,reg_rate_l2,lr_initial
0,-0.2275,0.2275,0.8733541898810822,0.03531479235905652
1,-0.3007,0.3007,0.44957888390078576,0.03757552007448616
2,-0.2952,0.2952,0.4439174008841718,0.08976089086332134
3,-0.2287,0.2287,0.867269908972918,0.07094561279439587
4,-0.3414,0.3414,0.2495046751966928,0.08324555623250757
5,-0.283,0.283,0.5916647953685226,0.009071932769960366
6,-0.3676,0.3676,0.20563957547472028,0.025455458972727146
7,-0.3638,0.3638,0.19773765626340353,0.05567154057341354
8,-0.3051,0.3051,0.39566331098540874,0.06987096618963154
9,-0.4447,0.4447,0.07779194111312751,0.00904874029242342
10,-0.373,0.373,0.1802207115342738,0.05587434065110954
11,-0.4615,0.4615,0.05141531425601553,0.041070795239371384
12,-0.439,0.439,0.06380905695939129,0.06842479935255724
13,-0.367,0.367,0.21287170399119315,0.022872345264861062
14,-0.3051,0.3051,0.4088758457004862,0.0740982919356081
15,-0.3655,0.3655,0.1988790408574803,0.04376397246929965
16,-0.4044,0.4044,0.12512923608642768,0.04727819283013913
17,-0.29,0.29,0.4915881306629891,0.04773420966448636
18,-0.3587,0.3587,0.23856390596380986,0.0170348370499877
19,-0.3966,0.3966,0.15251201880931006,0.006851949625181092
20,-0.4635,0.4635,0.017056334940157236,0.003418750782037748
